Country,Population,GDPperHead,UnemploymentRate,EducationSpending,SalesPerCapita,ComputerSales
Austria,8.4,49.600,4.2,5.8,112,941
Belgium,10.5,47.090,8.1,5.9,160,1682
Bulgaria,7.6,6.550,13.5,3.5,20,154
Czech Rep.,10.2,20.670,6.6,4.4,101,1029
Denmark,5.5,62.120,5.2,8.4,170,935
Finland,5.3,51.320,9.9,6.3,372,1971
France,61.9,44.510,10,5.7,96,5929
Germany,82.5,44.450,9.1,4.6,83,6824
Greece,11.2,31.670,9.9,3.9,73,813
Hungary,10,15.410,7.3,5.1,45,449
Ireland,4.4,60.460,6.3,4.3,131,577
Italy,58.9,38.490,9.3,5,66,3858
Netherlands,16.5,52.960,4.4,5,131,2169
Poland,38,13.850,14.4,5.6,75,2847
Portugal,10.7,22.920,6.3,5.9,68,729
Romania,21.3,9.300,7,3.3,32,687
Spain,44.8,35.220,14.2,4.4,106,4746
Switzerland,7.5,64.430,3.6,5.6,151,1130
Sweden,9.2,51.950,6.3,7.6,230,2113
Turkey,75.8,9.940,8.6,3.7,38,2879
UK,61,43.540,5.9,4.8,162,9887
